cbsa_code,cbsa_title,cbsa_type,primary_state,state_list
15820,"Campbellsville, KY",micro,KY,KY
15860,"Cañon City, CO",micro,CO,CO
15900,"Canton, IL",micro,IL,IL
15940,"Canton-Massillon, OH",metro,OH,OH
15980,"Cape Coral-Fort Myers, FL",metro,FL,FL
16020,"Cape Girardeau, MO-IL",metro,MO,MO-IL
16060,"Carbondale, IL",micro,IL,IL
16100,"Carlsbad-Artesia, NM",micro,NM,NM
16140,"Carroll, IA",micro,IA,IA
16180,"Carson City, NV",metro,NV,NV
16220,"Casper, WY",metro,WY,WY
16260,"Cedar City, UT",micro,UT,UT
16300,"Cedar Rapids, IA",metro,IA,IA
16340,"Cedartown, GA",micro,GA,GA
16380,"Celina, OH",micro,OH,OH
16460,"Centralia, IL",micro,IL,IL
16500,"Centralia, WA",micro,WA,WA
16540,"Chambersburg, PA",metro,PA,PA
16580,"Champaign-Urbana, IL",metro,IL,IL
16620,"Charleston, WV",metro,WV,WV
16660,"Charleston-Mattoon, IL",micro,IL,IL
16700,"Charleston-North Charleston, SC",metro,SC,SC
16740,"Charlotte-Concord-Gastonia, NC-SC",metro,NC,NC-SC
16820,"Charlottesville, VA",metro,VA,VA
16860,"Chattanooga, TN-GA",metro,TN,TN-GA
16940,"Cheyenne, WY",metro,WY,WY
16980,"Chicago-Naperville-Elgin, IL-IN",metro,IL,IL-IN
17020,"Chico, CA",metro,CA,CA
17060,"Chillicothe, OH",micro,OH,OH
17140,"Cincinnati, OH-KY-IN",metro,OH,OH-KY-IN
17220,"Clarksburg, WV",micro,WV,WV
17260,"Clarksdale, MS",micro,MS,MS
17300,"Clarksville, TN-KY",metro,TN,TN-KY
17340,"Clearlake, CA",micro,CA,CA
17380,"Cleveland, MS",micro,MS,MS
17410,"Cleveland, OH",metro,OH,OH
17420,"Cleveland, TN",metro,TN,TN
17500,"Clewiston, FL",micro,FL,FL
17540,"Clinton, IA",micro,IA,IA
17580,"Clovis, NM",micro,NM,NM
17620,"Coamo, PR",micro,PR,PR
17640,"Coco, PR",micro,PR,PR
17650,"Cody, WY",micro,WY,WY
17660,"Coeur d'Alene, ID",metro,ID,ID
17740,"Coldwater, MI",micro,MI,MI
17780,"College Station-Bryan, TX",metro,TX,TX
17820,"Colorado Springs, CO",metro,CO,CO
17860,"Columbia, MO",metro,MO,MO
17900,"Columbia, SC",metro,SC,SC
17980,"Columbus, GA-AL",metro,GA,GA-AL
18020,"Columbus, IN",metro,IN,IN
18060,"Columbus, MS",micro,MS,MS
18100,"Columbus, NE",micro,NE,NE
18140,"Columbus, OH",metro,OH,OH
18180,"Concord, NH",micro,NH,NH
18220,"Connersville, IN",micro,IN,IN
18260,"Cookeville, TN",micro,TN,TN
18300,"Coos Bay-North Bend, OR",micro,OR,OR
18340,"Corbin, KY",micro,KY,KY
18380,"Cordele, GA",micro,GA,GA
18420,"Corinth, MS",micro,MS,MS
18460,"Cornelia, GA",micro,GA,GA
18500,"Corning, NY",micro,NY,NY
18580,"Corpus Christi, TX",metro,TX,TX
18620,"Corsicana, TX",micro,TX,TX
